Location,Month,Model,Surface Temperature,Middle Temperature,Bottom Temperature,pH,Ammonia,Nitrate,Phosphate,Dissolved Oxygen,WQI,WQI_Status,Ammonia_Level,Nitrate_Level,Phosphate_Level
SUBIC-ILAYA,Month 9,CNN-LSTM,0.4298119,0.61599743,0.33084977,0.7883249,0.009130403,0.09524775,0.6256531,0.38113713,65.87224980365296,Poor,Low,Low,High
SUBIC-ILAYA,Month 10,CNN,0.4306195,0.61639583,0.35337532,0.7890733,-0.0056265676,0.09580612,0.6268103,0.40650827,65.87225805961296,Poor,Low,Low,High
SUBIC-ILAYA,Month 10,LSTM,0.4446401,0.6067975,0.32920662,0.77591884,0.021909444,0.07417789,0.63475484,0.36474612,65.87193826843226,Poor,Low,Low,High
SUBIC-ILAYA,Month 10,CNN-LSTM,0.4298119,0.61599743,0.33084977,0.7883249,0.009130403,0.09524775,0.6256531,0.38113713,65.87224980365296,Poor,Low,Low,High
SUBIC-ILAYA,Month 11,CNN,0.4306195,0.61639583,0.35337532,0.7890733,-0.0056265676,0.09580612,0.6268103,0.40650827,65.87225805961296,Poor,Low,Low,High
SUBIC-ILAYA,Month 11,LSTM,0.4446401,0.6067975,0.32920662,0.77591884,0.021909444,0.07417789,0.63475484,0.36474612,65.87193826843226,Poor,Low,Low,High
SUBIC-ILAYA,Month 11,CNN-LSTM,0.4298119,0.61599743,0.33084977,0.7883249,0.009130403,0.09524775,0.6256531,0.38113713,65.87224980365296,Poor,Low,Low,High
SUBIC-ILAYA,Month 12,CNN,0.4306195,0.61639583,0.35337532,0.7890733,-0.0056265676,0.09580612,0.6268103,0.40650827,65.87225805961296,Poor,Low,Low,High
SUBIC-ILAYA,Month 12,LSTM,0.4446401,0.6067975,0.32920662,0.77591884,0.021909444,0.07417789,0.63475484,0.36474612,65.87193826843226,Poor,Low,Low,High
SUBIC-ILAYA,Month 12,CNN-LSTM,0.4298119,0.61599743,0.33084977,0.7883249,0.009130403,0.09524775,0.6256531,0.38113713,65.87224980365296,Poor,Low,Low,High
BAÑAGA,Month 1,CNN,0.28882647,0.5502573,0.25448033,0.42836934,0.0061024046,0.06493825,0.5227939,0.20835464,65.87180165275059,Poor,Low,Low,High
BAÑAGA,Month 1,LSTM,0.3636608,0.5680642,0.2407437,0.45189536,0.03682643,0.06938101,0.58138597,0.15190569,65.87186734261361,Poor,Low,Low,High
BAÑAGA,Month 1,CNN-LSTM,0.3786684,0.5660566,0.27201056,0.37526044,0.03433761,0.08764864,0.52027875,0.16775195,65.87213744455751,Poor,Low,Low,High
BAÑAGA,Month 2,CNN,0.28882647,0.5502573,0.25448033,0.42836934,0.0061024046,0.06493825,0.5227939,0.20835464,65.87180165275059,Poor,Low,Low,High
BAÑAGA,Month 2,LSTM,0.3636608,0.5680642,0.2407437,0.45189536,0.03682643,0.06938101,0.58138597,0.15190569,65.87186734261361,Poor,Low,Low,High
BAÑAGA,Month 2,CNN-LSTM,0.3786684,0.5660566,0.27201056,0.37526044,0.03433761,0.08764864,0.52027875,0.16775195,65.87213744455751,Poor,Low,Low,High
