Location,Year,Model,Surface Temperature,Middle Temperature,Bottom Temperature,pH,Ammonia,Nitrate,Phosphate,Dissolved Oxygen,WQI,WQI_Status,Ammonia_Level,Nitrate_Level,Phosphate_Level
SUBIC-ILAYA,Year 2,CNN,0.39690396,0.62157863,0.35892287,0.7657306,-0.0054372074,0.08728036,0.6152368,0.3610243,73.17534663393236,Poor,Low,Low,High
SUBIC-ILAYA,Year 2,LSTM,0.43991473,0.6042208,0.33123687,0.75789315,0.026845498,0.07554952,0.63177174,0.37926605,73.1751539534686,Poor,Low,Low,High
SUBIC-ILAYA,Year 2,CNN-LSTM,0.42652118,0.61467355,0.33203414,0.7776487,0.009550102,0.09603155,0.6268032,0.3925196,73.17549037328503,Poor,Low,Low,High
SUBIC-ILAYA,Year 3,CNN,0.44179308,0.6497924,0.40191218,0.7416809,-0.018558394,0.09029688,0.63703483,0.3487296,73.17539618063768,Poor,Low,Low,High
SUBIC-ILAYA,Year 3,LSTM,0.42946827,0.6059093,0.3375964,0.7584431,0.025513528,0.07614373,0.63515675,0.36944994,73.17516371343962,Poor,Low,Low,High
SUBIC-ILAYA,Year 3,CNN-LSTM,0.43121222,0.6117637,0.33230087,0.766244,0.011342205,0.09388924,0.6188509,0.3800978,73.17545518558454,Poor,Low,Low,High
SAN NICOLAS,Year 1,CNN,0.4296651,0.6058248,0.35655728,0.7524526,0.007185445,0.0850127,0.6322333,0.46536332,73.17530938734299,Poor,Low,Low,High
SAN NICOLAS,Year 1,LSTM,0.43511963,0.5722363,0.2819247,0.75120413,0.02829673,0.07088545,0.62292063,0.45928523,73.17507734555555,Poor,Low,Low,High
SAN NICOLAS,Year 1,CNN-LSTM,0.43092287,0.57719386,0.2862704,0.776929,0.009946816,0.09188626,0.61884165,0.45764494,73.17542228639613,Poor,Low,Low,High
SAN NICOLAS,Year 2,CNN,0.44551998,0.6173999,0.35604087,0.6991652,-0.0008670287,0.08756598,0.6487436,0.4175155,73.17535132527536,Poor,Low,Low,High
SAN NICOLAS,Year 2,LSTM,0.44115883,0.5777681,0.2972595,0.7543445,0.03254053,0.0741833,0.62751555,0.45358163,73.1751315131401,Poor,Low,Low,High
SAN NICOLAS,Year 2,CNN-LSTM,0.44520926,0.5927061,0.29741356,0.7744515,0.013639368,0.09022638,0.6247346,0.47252306,73.17539502266666,Poor,Low,Low,High
SAN NICOLAS,Year 3,CNN,0.4510643,0.630831,0.3537714,0.71316046,-0.012023096,0.08700726,0.6024997,0.43531922,73.17534214823188,Poor,Low,Low,High
SAN NICOLAS,Year 3,LSTM,0.44500223,0.584449,0.3056004,0.74532056,0.031699553,0.07786645,0.6302402,0.43926623,73.17519200932367,Poor,Low,Low,High
SAN NICOLAS,Year 3,CNN-LSTM,0.44832796,0.5977179,0.3030867,0.7616415,0.012299374,0.09423131,0.61712503,0.4580399,73.1754608041256,Poor,Low,Low,High
MATAAS NA KAHOY,Year 1,CNN,0.2858219,0.56043243,0.26924628,0.62549466,0.044420194,0.06803532,0.53645146,0.23121923,73.17503053182608,Poor,Low,Low,High
MATAAS NA KAHOY,Year 1,LSTM,0.2990716,0.53081584,0.2154577,0.5449246,0.005978953,0.0878352,0.53886443,0.25198582,73.17535574724637,Poor,Low,Low,High
MATAAS NA KAHOY,Year 1,CNN-LSTM,0.31309098,0.5427297,0.2359751,0.7401133,-0.0055680927,0.11958894,0.6212707,0.306721,73.17587730626087,Poor,Low,Low,High
