Location,Week,Model,Surface Temperature,Middle Temperature,Bottom Temperature,pH,Ammonia,Nitrate,Phosphate,Dissolved Oxygen,WQI,WQI_Status,Ammonia_Level,Nitrate_Level,Phosphate_Level
TANAUAN,Week 47,CNN-LSTM,0.39470464,0.56134987,0.20501924,0.4776499,0.024529453,0.08391412,0.56473774,0.23738295,73.17529134303382,Poor,Low,Low,High
TANAUAN,Week 48,CNN,0.4234384,0.5474463,0.22070177,0.4995614,0.012287892,0.10650317,0.6111902,0.22981071,73.17566237090821,Poor,Low,Low,High
TANAUAN,Week 48,LSTM,0.4056117,0.58208674,0.22037624,0.532232,0.017642505,0.09893382,0.61053866,0.24700779,73.17553804342029,Poor,Low,Low,High
TANAUAN,Week 48,CNN-LSTM,0.39705858,0.5627969,0.20628943,0.4795156,0.02456278,0.083765104,0.56509656,0.23779729,73.17528889542803,Poor,Low,Low,High
TANAUAN,Week 49,CNN,0.42546844,0.54899913,0.22177148,0.5016004,0.012054542,0.106234565,0.61098343,0.23034285,73.17565795903865,Poor,Low,Low,High
TANAUAN,Week 49,LSTM,0.4076555,0.58327085,0.22175428,0.5338186,0.01758935,0.09892154,0.61075705,0.24739918,73.1755378417198,Poor,Low,Low,High
TANAUAN,Week 49,CNN-LSTM,0.39922988,0.56415504,0.2075577,0.48138106,0.024611518,0.08363144,0.56538045,0.23815899,73.17528669998067,Poor,Low,Low,High
TANAUAN,Week 50,CNN,0.4274739,0.5506738,0.22294748,0.5036184,0.01203463,0.10609791,0.6110459,0.23081598,73.17565571446377,Poor,Low,Low,High
TANAUAN,Week 50,LSTM,0.40958026,0.5843935,0.22310029,0.5354089,0.017536076,0.09890078,0.6109457,0.24775153,73.1755375007343,Poor,Low,Low,High
TANAUAN,Week 50,CNN-LSTM,0.40136653,0.5655047,0.20878571,0.48311839,0.024656456,0.08349579,0.56569606,0.23849314,73.17528447191305,Poor,Low,Low,High
TANAUAN,Week 51,CNN,0.4294357,0.55244726,0.22422694,0.5054703,0.011912215,0.10596488,0.61112815,0.23131265,73.17565352942995,Poor,Low,Low,High
TANAUAN,Week 51,LSTM,0.41146755,0.5855298,0.22441526,0.536997,0.017488847,0.09888272,0.6111729,0.24807993,73.17553720409661,Poor,Low,Low,High
TANAUAN,Week 51,CNN-LSTM,0.40341792,0.56677926,0.20998041,0.48485598,0.024690513,0.08339112,0.56599987,0.23884626,73.17528275269565,Poor,Low,Low,High
TANAUAN,Week 52,CNN,0.4313851,0.55397797,0.2252598,0.5073273,0.01175237,0.105795376,0.6110616,0.23177662,73.17565074530629,Poor,Low,Low,High
TANAUAN,Week 52,LSTM,0.41332668,0.58665913,0.22574745,0.5385367,0.017442519,0.09886628,0.61137754,0.24838701,73.17553693406764,Poor,Low,Low,High
